Name,Report_Name,Type,Service,HealthBoard,24h,Postcode,Latitude,Longitude,GeoLocation
Ysbyty Ystrad Fawr,Ysbyty Ystrad Fawr,Acute,Minor Injuries Unit,Aneurin Bevan,Y,CF82 7GP,51.634639,-3.237047,0xE6100000010C5305A3923AD1494068226C787AE509C0
Ysbyty Gwynedd,Ysbyty Gwynedd,Major acute - Major A&E - Open,Major A&E,Betsi Cadwaladr,Y,LL57 2PW,53.20901,-4.159877,0xE6100000010C986E1283C09A4A404F232D95B7A310C0
Glan Clwyd Hosp,Ysbyty Glan Clwyd,Major acute - Major A&E - Open,Major A&E,Betsi Cadwaladr,Y,LL18 5UJ,53.271745,-3.496383,0xE6100000010C5F29CB10C7A24A409B1BD31396F80BC0
Ysbyty Glan Clwyd,Ysbyty Glan Clwyd,Major acute - Major A&E - Open,Major A&E,Betsi Cadwaladr,Y,LL18 5UJ,53.271745,-3.496383,0xE6100000010C5F29CB10C7A24A409B1BD31396F80BC0
Maelor General Hosp,Wrexham Maelor Hospital,Major acute - Major A&E - Open,Major A&E,Betsi Cadwaladr,Y,LL13 7TD,53.046158,-3.010209,0xE6100000010CA089B0E1E9854A40BEBC00FBE81408C0
Wrexham Maelor Hosp,Wrexham Maelor Hospital,Major acute - Major A&E - Open,Major A&E,Betsi Cadwaladr,Y,LL13 7TD,53.046158,-3.010209,0xE6100000010CA089B0E1E9854A40BEBC00FBE81408C0
Withybush General Hosp,Withybush General Hospital,Major acute - Major A&E - Open,Major A&E,Hwyel Dda,Y,SA61 2PZ,51.812678,-4.965147,0xE6100000010CC7BAB88D06E8494007F0164850DC13C0
Withybush Hosp,Withybush General Hospital,Major acute - Major A&E - Open,Major A&E,Hwyel Dda,Y,SA61 2PZ,51.812678,-4.965147,0xE6100000010CC7BAB88D06E8494007F0164850DC13C0
Victoria Memorial Hosp,Victoria Memorial Hospital,Community,Minor Injuries Unit,Powys,Y,SY21 7DU,52.662277,-3.143313,0xE6100000010C0612143FC6544A40A18499B67F2509C0
University Hospital of Wales,University Hospital of Wales,Major acute - Major A&E - Open,Major A&E,Cardiff and Vale,Y,CF14 4XW,51.506717,-3.189401,0xE6100000010C0D71AC8BDBC0494032E6AE25E48309C0
Singleton Hospital,Singleton Hospital,Major acute,Minor Injuries Unit,Swansea Bay,N,SA2 8QA,51.609172,-3.985318,0xE6100000010C925CFE43FACD4940FDC1C073EFE10FC0
Royal Shrewsbury Hosp,Royal Shrewsbury Hospital,Major acute - Major A&E - Open,Major A&E,OOA,Y,SY3 8XQ,52.70923783,-2.793056653,0xE6100000010C5F29CB10C75A4A4047205ED72F5806C0
Royal Gwent Hosp,Royal Gwent Hospital,Major acute - Major A&E - Open,Major A&E,Aneurin Bevan,Y,NP20 2UB,51.579752,-2.998189,0xE6100000010C431CEBE236CA4940CE8DE9094BFC07C0
Royal Glamorgan Hosp,Royal Glamorgan Hospital,Major acute - Major A&E - Open,Major A&E,Cwm Taf Morgannwg,Y,CF72 8XR,51.547582,-3.390965,0xE6100000010C12A5BDC117C64940A9BC1DE1B4200BC0
Princess of Wales Hosp,Princess of Wales Hospital,Major acute - Major A&E - Open,Major A&E,Cwm Taf Morgannwg,Y,CF31 1RQ,51.51763,-3.571686,0xE6100000010C6E3480B740C24940179AEB34D2920CC0
Prince Philip Hosp,Prince Phillip Hospital,Major acute - Minor A&E - Open,Minor A&E,Hwyel Dda,Y,SA14 8QF,51.691571,-4.136032,0xE6100000010CF1F44A5986D849407A19C5724B8B10C0
Prince Charles Hosp,Prince Charles Hospital,Major acute - Major A&E - Open,Major A&E,Cwm Taf Morgannwg,Y,CF47 9DT,51.763913,-3.385548,0xE6100000010C0BB5A679C7E149404BC8073D9B150BC0
